origin_code,sum
8a194ac02397fff,0
8a194ac0239ffff,70
8a194ac023a7fff,266
8a194ac023affff,0
8a194ac023b7fff,769
8a194ac02807fff,0
8a194ac0280ffff,0
8a194ac02817fff,0
8a194ac0281ffff,256
8a194ac02827fff,0
8a194ac0282ffff,4
8a194ac02837fff,0
8a194ac02847fff,0
8a194ac0284ffff,0
8a194ac02857fff,0
8a194ac0285ffff,0
8a194ac02867fff,0
8a194ac0286ffff,0
8a194ac02877fff,0
8a194ac02887fff,0
8a194ac0288ffff,42
8a194ac02897fff,0
8a194ac0289ffff,0
8a194ac028a7fff,0
8a194ac028affff,986
8a194ac028b7fff,0
8a194ac028c7fff,696
8a194ac028cffff,692
8a194ac028d7fff,137
8a194ac028dffff,642
8a194ac028e7fff,1813
8a194ac028effff,155
8a194ac028f7fff,730
8a194ac02907fff,0
8a194ac0290ffff,0
8a194ac02917fff,0
8a194ac0291ffff,0
8a194ac02927fff,0
8a194ac0292ffff,0
8a194ac02937fff,0
8a194ac02947fff,0
8a194ac0294ffff,0
8a194ac02957fff,0
8a194ac0295ffff,0
8a194ac02967fff,0
8a194ac0296ffff,0
8a194ac02977fff,0
8a194ac02987fff,0
8a194ac0298ffff,0
8a194ac02997fff,0
8a194ac0299ffff,0
8a194ac029a7fff,0
8a194ac029affff,0
8a194ac029b7fff,0
8a194ac02a07fff,649
8a194ac02a0ffff,0
8a194ac02a17fff,40
8a194ac02a1ffff,351
8a194ac02a27fff,216
8a194ac02a2ffff,523
8a194ac02a37fff,295
8a194ac02a47fff,972
8a194ac02a4ffff,0
8a194ac02a57fff,407
8a194ac02a5ffff,167
8a194ac02a67fff,122
8a194ac02a6ffff,0
8a194ac02a77fff,44
8a194ac02a87fff,0
8a194ac02a8ffff,243
8a194ac02a97fff,221
8a194ac02a9ffff,0
8a194ac02aa7fff,23
8a194ac02aaffff,100
8a194ac02ab7fff,427
8a194ac02ac7fff,460
8a194ac02acffff,776
8a194ac02ad7fff,349
8a194ac02adffff,390
8a194ac02ae7fff,69
8a194ac02aeffff,0
8a194ac02af7fff,730
8a194ac02b07fff,0
8a194ac02b0ffff,33
8a194ac02b17fff,0
8a194ac02b1ffff,0
8a194ac02b27fff,0
8a194ac02b2ffff,29
8a194ac02b37fff,0
8a194ac02b47fff,482
8a194ac02b4ffff,568
8a194ac02b57fff,8
8a194ac02b5ffff,425
8a194ac02b67fff,300
8a194ac02b6ffff,721
8a194ac02b77fff,317
8a194ac02b87fff,65
8a194ac02b8ffff,392
8a194ac02b97fff,374
8a194ac02b9ffff,14
8a194ac02ba7fff,0
8a194ac02baffff,187
8a194ac02bb7fff,199
8a194ac02c07fff,0
8a194ac02c0ffff,0
8a194ac02c17fff,0
8a194ac02c1ffff,0
8a194ac02c27fff,0
8a194ac02c2ffff,0
8a194ac02c37fff,0
8a194ac02c47fff,0
8a194ac02c4ffff,0
8a194ac02c57fff,0
8a194ac02c5ffff,0
8a194ac02c67fff,0
8a194ac02c6ffff,0
8a194ac02c77fff,0
8a194ac02c87fff,0
8a194ac02c8ffff,0
8a194ac02c97fff,0
8a194ac02c9ffff,0
8a194ac02ca7fff,0
8a194ac02caffff,0
8a194ac02cb7fff,0
8a194ac02cf7fff,0
8a194ac02d07fff,0
8a194ac02d0ffff,0
8a194ac02d17fff,0
8a194ac02d1ffff,0
8a194ac02d27fff,0
8a194ac02d2ffff,0
8a194ac02d37fff,0
8a194ac02d47fff,0
8a194ac02d4ffff,0
8a194ac02d57fff,0
8a194ac02d5ffff,0
8a194ac02d67fff,0
8a194ac02d6ffff,0
8a194ac02d77fff,0
8a194ac02d87fff,0
8a194ac02d8ffff,0
8a194ac02d97fff,0
8a194ac02d9ffff,0
8a194ac02da7fff,0
