destination_code,sum
8a194ac0555ffff,27
8a194ac05567fff,526
8a194ac05577fff,128
8a194ac05587fff,339
8a194ac0558ffff,101
8a194ac055a7fff,2188
8a194ac055affff,661
8a194ac055b7fff,136
8a194ac05607fff,40
8a194ac05617fff,696
8a194ac0561ffff,960
8a194ac05627fff,11
8a194ac05637fff,68
8a194ac0564ffff,676
8a194ac0566ffff,117
8a194ac0568ffff,346
8a194ac05697fff,152
8a194ac0569ffff,22
8a194ac056a7fff,423
8a194ac056b7fff,238
8a194ac056c7fff,692
8a194ac056cffff,832
8a194ac056d7fff,6
8a194ac056dffff,44
8a194ac056e7fff,141
8a194ac056effff,124
8a194ac056f7fff,66
8a194ac05707fff,164
8a194ac0570ffff,85
8a194ac05717fff,755
8a194ac0571ffff,485
8a194ac05727fff,79
8a194ac0572ffff,123
8a194ac05737fff,183
8a194ac05747fff,515
8a194ac0574ffff,249
8a194ac05757fff,104
8a194ac05767fff,8
8a194ac05787fff,774
8a194ac0578ffff,38
8a194ac0579ffff,748
8a194ac057a7fff,42
8a194ac057affff,42
8a194ac05807fff,355
8a194ac05817fff,701
8a194ac0581ffff,624
8a194ac05827fff,9
8a194ac0582ffff,139
8a194ac0589ffff,2
8a194ac058affff,331
8a194ac058b7fff,66
8a194ac058e7fff,22
8a194ac0590ffff,181
8a194ac05917fff,2
8a194ac0591ffff,552
8a194ac05937fff,825
8a194ac05947fff,133
8a194ac05957fff,385
8a194ac0595ffff,3
8a194ac05967fff,64
8a194ac05977fff,57
8a194ac059affff,208
8a194ac05aa7fff,141
8a194ac05adffff,25
8a194ac05b87fff,433
8a194ac05b8ffff,1709
8a194ac05b9ffff,219
8a194ac05baffff,171
8a194ac05c07fff,199
8a194ac05c0ffff,193
8a194ac05c17fff,358
8a194ac05c1ffff,478
8a194ac05c2ffff,256
8a194ac05c37fff,72
8a194ac05c47fff,720
8a194ac05c4ffff,29
8a194ac05c57fff,662
8a194ac05c5ffff,32
8a194ac05c77fff,148
8a194ac05c87fff,6
8a194ac05c8ffff,658
8a194ac05c97fff,16
8a194ac05c9ffff,179
8a194ac05ca7fff,1067
8a194ac05ccffff,1148
8a194ac05cdffff,135
8a194ac05ce7fff,36
8a194ac05ceffff,18
8a194ac05d37fff,59
8a194ac05d5ffff,3
8a194ac05d87fff,185
8a194ac05d8ffff,391
8a194ac05d97fff,2
8a194ac05d9ffff,27
8a194ac05da7fff,465
8a194ac0610ffff,4
8a194ac06117fff,65
8a194ac0612ffff,13
8a194ac06137fff,7
8a194ac06147fff,2
8a194ac06167fff,9
8a194ac0616ffff,1203
8a194ac0618ffff,1
8a194ac061affff,19
8a194ac06207fff,70
8a194ac0620ffff,140
8a194ac0624ffff,366
8a194ac0625ffff,8
8a194ac0626ffff,510
8a194ac06287fff,5
8a194ac0630ffff,403
8a194ac06317fff,394
8a194ac06337fff,976
8a194ac0634ffff,819
8a194ac0636ffff,26
8a194ac064f7fff,256
8a194ac06517fff,265
8a194ac06537fff,490
8a194ac0654ffff,97
8a194ac06597fff,285
8a194ac065a7fff,390
8a194ac065b7fff,1188
8a194ac06617fff,478
8a194ac0662ffff,27
8a194ac0672ffff,17
8a194ac0676ffff,7
8a194ac06807fff,1067
8a194ac0680ffff,228
8a194ac06817fff,68
8a194ac0681ffff,958
8a194ac06827fff,220
8a194ac0682ffff,229
8a194ac0684ffff,86
8a194ac0685ffff,223
8a194ac06877fff,9
8a194ac06887fff,179
8a194ac0688ffff,76
8a194ac06897fff,949
8a194ac0689ffff,191
8a194ac068a7fff,638
8a194ac068affff,22
8a194ac068cffff,12
8a194ac068dffff,298
8a194ac068e7fff,36
8a194ac06907fff,986
8a194ac06917fff,35
8a194ac0691ffff,236
8a194ac06927fff,1678
8a194ac06947fff,110
8a194ac0694ffff,660
8a194ac0695ffff,1180
8a194ac06967fff,7
8a194ac06977fff,919
8a194ac0698ffff,988
8a194ac06997fff,369
8a194ac0699ffff,264
8a194ac069a7fff,776
8a194ac069affff,2
8a194ac069b7fff,277
8a194ac06a27fff,69
8a194ac06a87fff,54
8a194ac06a9ffff,19
8a194ac06aa7fff,2
8a194ac06b07fff,55
8a194ac06b0ffff,250
8a194ac06b17fff,12
8a194ac06b1ffff,43
8a194ac06b5ffff,4
8a194ac06b67fff,168
8a194ac06b8ffff,4
8a194ac06b97fff,90
8a194ac06c07fff,29
8a194ac06c17fff,1194
8a194ac06c37fff,78
8a194ac06c4ffff,13
8a194ac06c67fff,1725
8a194ac06c6ffff,160
8a194ac06c87fff,281
8a194ac06c8ffff,827
8a194ac06c97fff,511
8a194ac06c9ffff,45
8a194ac06ca7fff,391
8a194ac06cb7fff,37
8a194ac06cd7fff,62
8a194ac06ce7fff,540
8a194ac06cf7fff,115
8a194ac06d07fff,105
8a194ac06d0ffff,1341
8a194ac06d27fff,295
8a194ac06d47fff,328
8a194ac06d4ffff,177
8a194ac06d67fff,32
8a194ac06d6ffff,1223
8a194ac06d77fff,420
8a194ac06d87fff,22
8a194ac06d8ffff,149
8a194ac06d97fff,50
8a194ac06da7fff,600
8a194ac06daffff,551
8a194ac06db7fff,43
8a194ac0c597fff,570
8a194ac0c5b7fff,103
8a194ac0cc97fff,212
8a194ac0cd87fff,123
8a194ac0cd8ffff,173
8a194ac0cd97fff,428
8a194ac0cda7fff,449
8a194ac0cdaffff,2103
8a194ac0cdb7fff,1128
8a194ac0e9b7fff,28
8a194ac0ec8ffff,38
8a194ac0ecb7fff,2
8a194ac0ed07fff,516
8a194ac0ed17fff,532
8a194ac0ed27fff,232
8a194ac0ed2ffff,30
8a194ac0ed37fff,1229
8a194ac0eda7fff,292
8a194ac1002ffff,33
8a194ac10037fff,304
8a194ac10047fff,722
8a194ac10057fff,54
8a194ac10077fff,475
8a194ac10107fff,210
8a194ac1010ffff,585
8a194ac1011ffff,470
8a194ac1012ffff,219
8a194ac10137fff,939
8a194ac10147fff,105
8a194ac1015ffff,245
8a194ac10197fff,231
8a194ac101a7fff,37
8a194ac102a7fff,7
8a194ac104cffff,372
8a194ac106a7fff,371
8a194ac10707fff,154
8a194ac1070ffff,22
8a194ac10717fff,11
8a194ac1071ffff,2
8a194ac10727fff,23
8a194ac1074ffff,339
8a194ac10757fff,18
8a194ac1075ffff,411
8a194ac1076ffff,164
8a194ac10777fff,97
8a194ac1079ffff,442
8a194ac1080ffff,362
8a194ac1081ffff,123
8a194ac10827fff,5
8a194ac1082ffff,838
8a194ac1085ffff,169
8a194ac1086ffff,324
8a194ac108b7fff,40
8a194ac108c7fff,133
8a194ac108dffff,367
8a194ac108e7fff,360
8a194ac10907fff,27
8a194ac1090ffff,326
8a194ac1091ffff,32
8a194ac10927fff,565
8a194ac1092ffff,195
8a194ac10937fff,35
8a194ac10947fff,1986
8a194ac1094ffff,704
8a194ac1095ffff,292
8a194ac10967fff,368
8a194ac1096ffff,1388
8a194ac10977fff,607
8a194ac1099ffff,96
8a194ac109affff,2
8a194ac10b17fff,153
8a194ac10b37fff,232
8a194ac10b97fff,283
8a194ac10ba7fff,150
8a194ac10c07fff,715
8a194ac10c0ffff,117
8a194ac10c27fff,461
8a194ac10c2ffff,77
8a194ac10c37fff,127
8a194ac10c47fff,889
8a194ac10c4ffff,159
8a194ac10c5ffff,159
8a194ac10c6ffff,294
8a194ac10d0ffff,347
8a194ac10d1ffff,362
8a194ac10d47fff,352
8a194ac10d67fff,461
8a194ac10d6ffff,25
8a194ac10daffff,154
8a194ac12b67fff,437
8a194ac13937fff,55
8a194ac14007fff,1042
8a194ac1400ffff,631
8a194ac1401ffff,493
8a194ac14027fff,9
8a194ac1402ffff,189
8a194ac14037fff,217
8a194ac14047fff,52
8a194ac1404ffff,87
8a194ac14057fff,730
8a194ac1405ffff,374
8a194ac14067fff,427
8a194ac1406ffff,535
8a194ac14077fff,1635
8a194ac14087fff,471
8a194ac1408ffff,31
8a194ac14097fff,352
8a194ac1409ffff,589
8a194ac140a7fff,6
8a194ac140affff,425
8a194ac140b7fff,588
8a194ac140c7fff,581
8a194ac140cffff,1427
8a194ac140d7fff,395
8a194ac140dffff,68
8a194ac140e7fff,88
8a194ac140effff,227
8a194ac140f7fff,44
8a194ac14107fff,438
8a194ac1410ffff,182
8a194ac14117fff,23
8a194ac1411ffff,1092
8a194ac14127fff,683
8a194ac1412ffff,609
8a194ac14137fff,156
8a194ac14147fff,127
8a194ac1414ffff,70
8a194ac14157fff,79
8a194ac1415ffff,1234
8a194ac14167fff,260
8a194ac1416ffff,425
8a194ac14177fff,149
